Model,Accuracy,Precision_weighted,Recall_weighted,F1_weighted,ROC_AUC,Precision_defective,Recall_defective,F1_defective,PF,Specificity,G_measure
RF,0.8657759614708714,0.865138609342447,0.8657759614708714,0.8615008533475557,0.8167489148769563,0.4309499407632872,0.3850731790268555,0.3924753852721179,0.07209371640675549,0.9279062835932445,0.49914961089658016
Bagging-RF,0.8503404626256301,0.8678930832167271,0.8503404626256301,0.8551420268625423,0.8092664071481057,0.41701725390429933,0.47614191984486104,0.4257769974627009,0.1042537835913488,0.8957462164086512,0.5832252566114073
Bagging-DS,0.847185822408788,0.8636344726620869,0.847185822408788,0.8514395729381597,0.7681351569818676,0.37744049663316026,0.4309064096850862,0.3851209776242946,0.10211878533719847,0.8978812146628016,0.5371151439882724
AdaBoost-RF,0.8507012483506516,0.859137545295391,0.8507012483506516,0.8514269384950627,0.7372927803932529,0.38451976237274826,0.3965628352856294,0.37759575014733454,0.09553435632031089,0.9044656436796892,0.5095297264568978
AdaBoost-DS,0.848888817377016,0.8575285075214151,0.848888817377016,0.8506298082502843,0.7013262313150078,0.3597981677564313,0.39892154887596065,0.36772055187491826,0.09835406349270144,0.9016459365072984,0.5042531321332435
DS,0.8338439073638787,0.8516779415815666,0.8338439073638787,0.8398251634322336,0.6400112413324559,0.3271082566312836,0.3925545034214152,0.34714711858313196,0.11664270902774745,0.8833572909722525,0.4928003326603719
LR,0.7719573905121618,0.8676500597029367,0.7719573905121618,0.8042391142986824,0.7979334271011693,0.28362762138945996,0.6704995759142818,0.3691526840155701,0.21759424872354796,0.7824057512764521,0.7003905371544401
SVM,0.7704890050710341,0.8692069025575545,0.7704890050710341,0.8037846420176539,0.7943397670915959,0.28365043184049665,0.6561283610180669,0.36396224324576376,0.217842396540164,0.782157603459836,0.6863141877207856
Bagging-LR,0.7641969680686052,0.8660953258045065,0.7641969680686052,0.7980733278839383,0.7956206051302535,0.27474983615500237,0.6726341220054455,0.3613335024879049,0.22613550079349096,0.773864499206509,0.693798754588541
Bagging-SVM,0.7639912752575104,0.8646739349497204,0.7639912752575104,0.7980196400260053,0.748559835022271,0.27706728707415157,0.6488301855823915,0.35820054379235927,0.2233939548852441,0.7766060451147558,0.6796437414277738
AdaBoost-LR,0.7465802681786132,0.8725204173702312,0.7465802681786132,0.7889204812251135,0.7822343576502264,0.26510191852674425,0.7150385812716695,0.35526772850847727,0.24897145086608313,0.7510285491339169,0.7120942098960449
AdaBoost-SVM,0.7382187865933041,0.8665407130553934,0.7382187865933041,0.7812733492520374,0.7730861746515532,0.263400389877407,0.6947842299857006,0.3515587805832198,0.25764079037011867,0.7423592096298813,0.6972252141877805
